GeForce GT 520MX ,1051,390.xx
GeForce GT 520M ,1052,390.xx
GeForce 410M ,1054,390.xx
GeForce 410M ,1055,390.xx
NVS 4200M ,1056,390.xx
NVS 4200M ,1057,390.xx
GeForce 610M ,1058,390.xx
GeForce 610 ,1058 ,390.xx
GeForce 800A ,1058 ,390.xx
GeForce 705A ,1058 ,390.xx
GeForce 800A ,1058 ,390.xx
GeForce 800A ,1058 ,390.xx
GeForce 800A ,1058 ,390.xx
GeForce 800A ,1058 ,390.xx
GeForce 800A ,1058 ,390.xx
GeForce 610M ,1059,390.xx
GeForce 610M ,105A,390.xx
GeForce 705M ,105B,390.xx
GeForce 705A ,105B ,390.xx
GeForce 800A ,105B ,390.xx
GeForce 705A ,105B ,390.xx
GeForce 800A ,105B ,390.xx
NVS 315 ,107C,390.xx
NVS 310 ,107D,390.xx
GeForce GTX 580 ,1080,390.xx
GeForce GTX 570 ,1081,390.xx
GeForce GTX 560 Ti ,1082,390.xx
GeForce GTX 560 ,1084,390.xx
GeForce GTX 570 ,1086,390.xx
GeForce GTX 560 Ti ,1087,390.xx
GeForce GTX 590 ,1088,390.xx
GeForce GTX 580 ,1089,390.xx
GeForce GTX 580 ,108B,390.xx
Tesla M2090 ,1091,390.xx
Tesla X2090 ,1091 ,390.xx
Tesla X2090 ,1091 ,390.xx
Tesla X2090 ,1091 ,390.xx
Tesla X2090 ,1091 ,390.xx
Tesla M2075 ,1094,390.xx
Tesla C2075 ,1096,390.xx
Tesla C2050 ,1096 ,390.xx
Quadro 5010M ,109A,390.xx
Quadro 7000 ,109B,390.xx
GeForce 820M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce GT 720M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 710M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 810M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 810M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce 820M ,1140 ,390.xx
GeForce GT 630M ,1140 ,390.xx
GeForce GT 630M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 620M ,1140 ,390.xx
GeForce GT 625M ,1140 ,390.xx
GeForce GT 630M ,1140 ,390.xx
GeForce GT 630M ,1140 ,390.xx
GeForce GT 630M ,1140 ,390.xx
GeForce GT 625M ,1140 ,390.xx
GeForce GT 625M ,1140 ,390.xx
